channel_name,title,views,upload_date,duration,url
MrBeast,"World's Biggest YouTubers Fight for $1,000,000",103M views,3 years ago,,https://www.youtube.com/watch?v=x9TQ6culXIA
MrBeast,I Got Hunted By The Military,255M views,3 years ago,,https://www.youtube.com/watch?v=QbJJwaVdgIs
MrBeast,"$456,000 Squid Game In Real Life!",884M views,3 years ago,,https://www.youtube.com/watch?v=0e3GPea1Tyg
MrBeast,I Cleaned The World’s Dirtiest Beach #TeamSeas,133M views,4 years ago,,https://www.youtube.com/watch?v=cV2gBU6hKfY
MrBeast,"Last To Take Hand Off Lamborghini, Keeps It",198M views,4 years ago,,https://www.youtube.com/watch?v=qIsgdOVGA04
MrBeast,"First To Rob Bank Wins $100,000",210M views,4 years ago,,https://www.youtube.com/watch?v=cExLQ1o2pDw
MrBeast,"Extreme $500,000 Game Of Tag!",225M views,4 years ago,,https://www.youtube.com/watch?v=uocETPj4Jx4
MrBeast,"Last To Leave Circle Wins $500,000",538M views,4 years ago,,https://www.youtube.com/watch?v=zxYjTTXc-J8
MrBeast,I Got Hunted By The FBI,258M views,4 years ago,,https://www.youtube.com/watch?v=hxwpkM5w3Cc
MrBeast,"If You Can Carry $1,000,000 You Keep It!",256M views,4 years ago,,https://www.youtube.com/watch?v=ktyJIj6i4Qw
MrBeast,"Would You Quit School For $100,000?",187M views,4 years ago,,https://www.youtube.com/watch?v=urtFrxDUV6c&pp=0gcJCQMKAYcqIYzv
MrBeast,I Survived 50 Hours In A Maximum Security Prison,291M views,4 years ago,,https://www.youtube.com/watch?v=nM89Wl03Q4g
MrBeast,"Hit The Target, Win $300,000",213M views,4 years ago,,https://www.youtube.com/watch?v=NZlClr_ivb4
MrBeast,Anything You Can Fit In The Triangle I’ll Pay For,261M views,4 years ago,,https://www.youtube.com/watch?v=E6E22XQPhhg
MrBeast,I Got Hunted By A Real Bounty Hunter,234M views,4 years ago,,https://www.youtube.com/watch?v=TQHEJj68Jew
MrBeast,"Extreme $100,000 Game of Tag!",266M views,4 years ago,,https://www.youtube.com/watch?v=WcwGleN38zE
MrBeast,"Would You Sit In Snakes For $10,000?",372M views,4 years ago,,https://www.youtube.com/watch?v=fMfipiV_17o
MrBeast,"I Bought The World's Largest Mystery Box! ($500,000)",289M views,4 years ago,,https://www.youtube.com/watch?v=ayXxwJJId_c
MrBeast,I Spent 50 Hours Buried Alive,337M views,4 years ago,,https://www.youtube.com/watch?v=9bqk6ZUsKyA
MrBeast,"Offering People $100,000 To Quit Their Job",168M views,4 years ago,,https://www.youtube.com/watch?v=DuQbOQwVaNE
MrBeast,I Sold My House For $1,182M views,4 years ago,,https://www.youtube.com/watch?v=vJH28ICkCdU
MrBeast,"I Donated $300,000 To People In Need",56M views,4 years ago,,https://www.youtube.com/watch?v=_uwNDiU04zE
MrBeast,"I Ate $100,000 Golden Ice Cream",297M views,4 years ago,,https://www.youtube.com/watch?v=C680oxL__ck
MrBeast,I Bought Everything In 5 Stores,203M views,4 years ago,,https://www.youtube.com/watch?v=5Fg9oZk-5uA
MrBeast,YOUTUBE REWIND: 2020,73M views,4 years ago,,https://www.youtube.com/watch?v=PKtnafFtfEo
